"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Burnes, Corbin","R",,"74","61.8","77.1",,"70.7","37.9",,
"Mayza, Tim","L",,"87",,,,,"18.6",,
"Darrell-Hicks, Michael","R",,"85","35.7",,,,,"56.4",
"Brash, Matt","R",,"89.6",,"73.1",,"54","48.3",,
"Bowman, Matt","R",,"90","45.2",,"83.6",,,"42",
"Clase, Emmanuel","R",,,"63.6",,,,"38.7",,
"Johnson, Ryan","R",,"67.5","42.4",,"82.4",,,"51.4",
"Bautista, Félix","R",,"99.1",,,"97.2",,"37.1",,
"Uribe, Abner","R",,"72.6",,,,,"38.4",,
"Ashcraft, Graham","R",,,"47.5",,,,"37.3",,
"Mey, Luis","R",,"74.2",,,,,"33.2",,
"Priester, Quinn","R",,"81.6","63.8","96.8",,"59.3","30.3",,
"Roberts, Ethan","R",,,"46.9",,,,,"70.4",
"Ferrer, Jose A.","L",,"99.5",,"94.2",,,"19.9",,
"Topa, Justin","R",,"87.6","37.3","69.3",,,,"52.7",
"Murdock, Noah","R",,"69.4","23.9","60.3",,,,"55.3",
"Ginn, J.T.","R",,"77.8","57.5","80.5",,,"19.6",,
"Thomas, Connor","L",,"73.5","14","81.2",,,,"59.1",
"Funderburk, Kody","L",,"82","62.3","84.4",,,"26.8","62.1",
"Castillo, José","L",,"72.7",,,,,"42.7",,
"Young, Danny","L",,"85.3",,,,,,"57.3",
"Fluharty, Mason","L",,,"42",,,,,"58.1",
"Little, Brendon","L",,"70.6","41.9",,,"73.1",,,
"Guenther, Sean","L",,"76.1",,,"98.2",,"69.9",,
"Spence, Mitch","R",,"50.9","30.1",,,"68.9","51.3",,
"Tate, Dillon","R",,"91.5",,"68.4",,,,"37.3",
"Hader, Josh","L",,"99.5",,"92",,,"19.6",,
"Bird, Jake","R",,"74.7","56.8",,,"85.5","52.1",,
"Leiter Jr., Mark","R",,"93.2","56.8",,"88.5","97.5",,,
"Rogers, Taylor","L",,"88",,,,,,"68.2",
"Peguero, Elvis","R",,"91.8",,,,,"28.9",,
"Alexander, Scott","L",,"76.3",,"66.4",,,"32.4",,
"Koenig, Jared","L",,"80","47.7","91.9",,"81.7",,,
"Pérez, Martín","L",,"97.1","65.7","99.2",,"31.8",,,
"Jansen, Kenley","R",,"96.3","82.3",,,,"43.9",,
"Castro, Miguel","R",,"98.7",,"91.8",,,"48.7",,
"Whitlock, Garrett","R",,"99.5",,"85.9",,,"54.4","63",
"Svanson, Matt","R",,"88","35.5",,,,,"40.5",
"Alvarado, José","L",,"93.8","41.2",,,"56.9",,,
"Bernardino, Brennan","L",,"77.5","25.2","89.6",,"56.4","19.4",,
"Mantiply, Joe","L",,"90.3",,"98.5",,"50.7",,,
"King, John","L",,"74",,"84.4",,,"31.9",,
"Maton, Phil","R",,"72.3","60.5",,,"92",,"49.3",
"Fedde, Erick","R",,"78.3","61.1","71.8",,,,"47",
"Matz, Steven","L",,"99.4",,"83.4",,"76.8",,,
"Bivens, Spencer","R",,"81.6","54","66.6",,,,,"54.9"
"Roupp, Landen","R",,"86","49","88.1",,"81.3",,,
"Sánchez, Cristopher","L",,"93.5",,"83.4",,,"18.6",,
"McFarland, T.J.","L",,"89.9",,"93.6",,,,"65.3",
"Borucki, Ryan","L",,"95.4",,,"87.2",,"15.5","44.2",
"Walker, Ryan","R",,"79.8",,,,,"54.6",,
"McDaniels, Garrett","L",,"66.4",,,,,"19.5",,
"Doval, Camilo","R",,,"55.6",,,,"35.6",,
"Rogers, Tyler","R",,"71",,,,,"59.9",,
"Vargas, Carlos","R",,"71","28.8",,,,"29.2",,
"Palencia, Daniel","R","99.7",,,,,,"22.7",,
"Mahle, Tyler","R","99.7",,"45.6",,"90.9",,"26.3",,
"Brebbia, John","R","99.7",,,"95.7",,,"43.1",,
"Giolito, Lucas","R","99.6",,,"99.1",,"92.9","35.5",,
"Paddack, Chris","R","99.6","98.5",,"97.2",,"87.8","44",,
"Dreyer, Jack","L","99.6",,,,,"90.8","24.3",,
"Lee, Dylan","L","99.5",,,"99.1",,,"38.8",,
"Miller, Shelby","R","99.5",,,,"89.5",,,"44.9",
"Myers, Tobias","R","99.5",,"72.3","99.7",,,"46.1",,
"Dana, Caden","R","99.4",,,"96.5",,,"40.8",,
"Hernández, Daysbel","R","99.4",,,,,,"18.6",,
"Heaney, Andrew","L","99.4","97.2",,"99.6",,"59.9","20",,
"Stanek, Ryne","R","99.4",,,,"95.9",,"21.5","41.7",
"Chivilli, Angel","R","99.3",,,"92.8",,,"35.8",,
"Gordon, Tanner","R","99.3",,,"95.1",,,"30.9",,
"Cantillo, Joey","L","99.3",,,"98.8",,"96.8","40.8",,
"Estévez, Carlos","R","99.3",,,"87.8",,,"41.2",,
"Parker, Mitchell","L","99.3",,,,"91.7","47.6","17.3",,
"Imanaga, Shota","L","99.3",,,"93.2","92.6","76.9",,"32.6",
"Peralta, Luis","L","99.3",,,,,"59.5",,,
"Poche, Colin","L","99.2",,,,,,"44.8",,
"Miller, Bobby","R","99.2","98.6",,"98.4",,"83.9","33.4",,
"Blalock, Bradley","R","99.2",,"50.9",,"92.1","60.1","38.5",,
"Finnegan, Kyle","R","99.1",,,,"94.2",,,,
"Pepiot, Ryan","R","99.1",,"69.7","79.2",,"80.9","51.2",,
"Detmers, Reid","L","99.1","99.3",,,,"90.7","28.8",,
"Estrada, Jeremiah","R","99.1",,,,"98.5",,"40.3",,
"Petty, Chase","R","99.1",,,"99.4",,,"15.2","36.5",
"Orze, Eric","R","99.1",,,,"76.6",,"38",,
"Anderson, Tyler","L","99","95.1","60.6","94.3",,,"26.4",,
"Yarbrough, Ryan","L","98.9","98.8","48.9","92.3",,,,"60.8",
"Fernandez, Ryan","R","98.9",,"57.3",,,,"24.4",,
"Vesia, Alex","L","98.9",,,"99.6",,,"39.6",,
"Halvorsen, Seth","R","98.9",,,,"92.1",,"29.4",,
"Duran, Jhoan","R","98.9",,,,"86.4","63.2",,"59",
"Harris, Hogan","L","98.9",,"67.3","99.1",,"97.9",,"70.3",
"Falter, Bailey","L","98.8","98.1",,,"95.6","38.5","62.6",,
"Quantrill, Cal","R","98.8","98.3","43.8",,"93.9","45.4","21.1",,
"Gordon, Colton","L","98.8","97.3",,"98.2",,"66.5",,"44.5",
"Sears, JP","L","98.8",,,"94.7",,,"37.1","40.6",
"Lodolo, Nick","L","98.7","99.2",,"95.2",,"37",,,
"Morgan, Eli","R","98.7",,,"92.5",,,"17.2",,
"Ragans, Cole","L","98.6",,"39.1","99.4",,"91.7","26.6",,
"Strahm, Matt","L","98.5","98.2","51.3",,,,"19.9",,
"Springs, Jeffrey","L","98.5",,"65.5","94.4",,,"31.7","48.9",
"Brzykcy, Zach","R","98.5",,,"99.5",,"61.3",,,
"De los Santos, Yerry","R","98.4","97.3",,"86.6",,,"24.4",,
"Blanco, Ronel","R","98.2",,,"96.8",,"45","34.6",,
"Nelson, Ryne","R","98.2",,"53.2","99.1",,"65.3","35.9",,
"Bednar, David","R","98.1",,,,"76.8","66",,,
"Woods Richardson, Simeon","R","98.1",,,"86.2",,"85","49.9",,
"Montgomery, Mason","L","98.1",,,,,,"13.2",,
"Harrison, Kyle","L","98.1",,,"99.5",,,,,"41.6"
"Henderson, Logan","R","98",,"56.4","94.5",,,"17.4",,
"Cortes, Nestor","L","98",,"50.8","91.3",,,,"52.4",
"Gausman, Kevin","R","98",,,,"87.9",,"22.8",,
"Yoho, Craig","R","97.9",,,"89.3",,,,"95.3",
"Kerkering, Orion","R","97.8","92.6",,,,,,"47.2",
"Mize, Casey","R","97.8","96.5",,,"95.3",,"30.9",,"32"
"Maldonado, Anthony","R","97.8",,,,,,"21.3",,
"Kremer, Dean","R","97.7","91.6","44.7",,"96.7","66.4",,,
"Ureña, José","R","97.7","98.1",,"99.2",,,"48.6",,
"Harrington, Thomas","R","97.6",,"49.6",,"92.6",,,"50.2",
"Walker, Taijuan","R","97.5","96.3","56.4",,"82.4","68.9","30",,
"Anderson, Ian","R","97.5",,,"94.1",,"48.6",,,
"Smith-Shawver, AJ","R","97.5",,,,"85.2","78.4","54.5",,
"Lord, Brad","R","97.5","97.7",,"98.9",,,"17.7",,
"Wacha, Michael","R","97.4","95.2","55.6","79.4",,"89.1","30.8",,
"Yates, Kirby","R","97.4",,,,"98",,,,
"Romano, Jordan","R","97.4",,,,,,"20.3",,
"Latz, Jacob","L","97.3",,,"93.6",,"82.1","32.7",,
"Skenes, Paul","R","97.3","96.4",,"97.5","90.7","42.1","28.7","34.4",
"Lively, Ben","R","97.3","96.1","48.8","98.4",,"72.3","46.1","51.7",
"Rodón, Carlos","L","97.2","71.7",,"76.9",,"77.3","25.4",,
"Headrick, Brent","L","97.2",,,,"96.7",,"28.8",,
"Erceg, Lucas","R","97.2","97.4",,"92.9",,,"20.1",,
"Wilson, Justin","L","97.2",,"63.2",,"92.9",,"23.4",,
"Gilbert, Logan","R","97.1",,,,"52.9","60.8","12.9",,
"Gonsolin, Tony","R","97.1",,,,"86.3","65.8","32.6",,
"Reynolds, Sean","R","97.1",,,"98.6",,,"31.7","59.8",
"Hendriks, Liam","R","97.1",,,,,"80.3","22.9",,
"Hoffman, Jeff","R","97","97.8",,,"94.7",,"21.7",,
"Ort, Kaleb","R","96.9",,"57.6","95.6",,,,"58.8",
"Matthews, Zebby","R","96.7",,"54.3","99.3",,"66.7","17.9",,
"Holman, Grant","R","96.7",,,,"78.1",,"8.4",,
"Greene, Hunter","R","96.6",,,,"80.8",,"43.1",,
"Agnos, Zach","R","96.6",,"63",,"90.5",,,"55.7",
"Jarvis, Bryce","R","96.6","95.5",,"94.3",,,"25.8",,
"Sulser, Cole","R","96.6",,"45.6","84.4",,,,,
"Smith, Cade","R","96.5",,,,"95",,,"39.4",
"Alcantara, Sandy","R","96.5","95.4",,"93.7",,"23.7","17.4",,
"Bradley, Taj","R","96.5",,"43.4",,"91.5","80.7",,,
"Akin, Keegan","L","96.5",,,"98.7",,,"25.9",,
"Johnson, Pierce","R","96.4",,"52.1",,,"41.2",,,
"López, Jorge","R","96.4","95",,"99",,"76.4","30.9",,
"Strider, Spencer","R","96.4",,,"69.1",,"64.1","33.4",,
"Brogdon, Connor","R","96.4",,"38.8","98.7",,,,,
"Knack, Landon","R","96.3",,,"87.3",,"85.7","26.1",,
"Otañez, Michel","R","96.3","97.6",,,,,"13.9",,
"Lorenzen, Michael","R","96.3","92.7","55.6","97.5",,"65.9","23","31.7",
"Williams, Gavin","R","96.2","98.7","61.8",,,"87.4",,"47",
"Eisert, Brandon","L","96.2","93.9",,"89.7",,,"42.4",,
"Alcala, Jorge","R","96.2","95.8",,"94.3",,"41.7","35.6",,
"Scott, Tayler","R","96.1",,,,"76",,"44.3",,
"Cecconi, Slade","R","96.1",,"21.6","94.1",,"80.1","21.9",,
"Fisher, Braydon","R","96",,,,,"76.9","19.7",,
"Legumina, Casey","R","96","95.3",,"90.6",,,,"44.8",
"Arrighetti, Spencer","R","95.9",,"44.5","94.8",,"76.9",,"57.4",
"Ryan, Joe","R","95.8","94.5",,,"75.4",,"23.5","67.8",
"Liberatore, Matthew","L","95.8","91.8","46.6","96.3",,"95.6","24.4",,
"McDermott, Chayce","R","95.8",,,,,,"33.7",,
"Weaver, Luke","R","95.7",,"69.9","85.5",,,"52.6",,
"Taylor, Troy","R","95.7",,,,,,,"61.4",
"Arias, Luarbert","R","95.7",,,,"84",,"29.7",,
"Gibaut, Ian","R","95.7",,"58.6",,,,"39.3","49.7",
"Peralta, Wandy","L","95.7","94.9",,"83.5",,,"28.8",,
"Milner, Hoby","L","95.7","92.6",,"95.1",,,,"67.1",
"Baker, Bryan","R","95.6",,,"86.2",,,"45.8",,
"Gaddis, Hunter","R","95.6",,,"97.9",,,"53.6",,
"Hill, Tim","L","95.6","91.3",,,,,"49.2",,
"Sasaki, Roki","R","95.6",,,,"91.7",,"43.4",,
"Booser, Cam","L","95.5",,"20.9",,,,,"51.8",
"Henry, Cole","R","95.5","94.1","33.8","91.5",,"54.9",,,
"Leasure, Jordan","R","95.4",,,,,,"37.8",,
"Rainey, Tanner","R","95.4",,,,,,"21.8",,
"Young, Brandon","R","95.4",,"42.1","90",,"83.5",,,
"Abbott, Andrew","L","95.4",,"40.1","96.1",,"44.2",,"32.9",
"Verlander, Justin","R","95.4",,,"93.9",,"64.9","35.5","55.5",
"Rodriguez, Elvin","R","95.4",,"49.5","97.7",,"79.2",,"36.1",
"Brown, Ben","R","95.3",,,"97",,"29.1",,,
"Banda, Anthony","L","95.3","93.7",,"98.9",,,"22",,
"Williams, Devin","R","95.3",,,"88.4",,,,,
"Fermin, José","R","95.2","95.7",,,,,"11.2",,
"Hanifee, Brenan","R","95.2","93.5",,"97.3",,,"16.8",,
"Martinez, Justin","R","95.2","94.8",,,"86.8",,"46",,
"Suarez, Robert","R","95.2","95.7",,"93.5",,,,,
"McKenzie, Triston","R","95.1",,,,,"67.6",,,
"Nola, Aaron","R","95.1","92.8","48.4","99.6",,"80.2",,,
"Mears, Nick","R","95.1",,,,,,"20.5",,
"Weathers, Ryan","L","95.1",,,"76.2",,,,"33",
"Littell, Zack","R","95.1","93.5",,,"77.3",,"51.3","50.1",
"Ray, Robbie","L","95",,,"93.1",,"37","49.4",,
"Pivetta, Nick","R","95","96.1","55.7",,,"81.3",,"43.9",
"Kirby, George","R","94.7","90.8",,,"94","79.5","47.1",,
"Chafin, Andrew","L","94.7","92.5",,,,,"30.6",,
"Kahnle, Tommy","R","94.7",,,"98.5",,,,,
"Leiter, Jack","R","94.6","94.3",,"72.4",,"62.7","26.6",,
"Márquez, Germán","R","94.6","93.1",,"98.7",,"22.8","30.8",,
"Sterner, Justin","R","94.5",,"31.4",,,,,"52.9",
"Hernández, Carlos","R","94.5",,,,"91.3","54.5","27.4",,
"Taillon, Jameson","R","94.4","93.3","51.6","87.3",,"69.3",,"51",
"Civale, Aaron","R","94.4","88.7","56.3",,,"74.5","39.5",,
"Canning, Griffin","R","94.4",,"35.6","84.6",,"52.3","30.4",,
"Dollander, Chase","R","94.4",,"39.3","97.1",,"77.7",,,
"Burrows, Mike","R","94.4",,,"98.9",,"84.9","22.6",,
"Povich, Cade","L","94.4","93.5",,"86.6",,"85.2","32","42.1",
"Nicolas, Kyle","R","94.3",,,,,"78.4","30.5",,
"Jobe, Jackson","R","94.3","88.4",,"98.1",,"70.4","29.6",,
"Brown, Hunter","R","94.2","88.9","51.5","96.8",,"82.1","39.5",,
"Richardson, Lyon","R","94.2","87.8",,"94.8",,"54.1",,,
"Díaz, Edwin","R","94.2",,,,,,"21.4",,
"Pearson, Nate","R","94.2",,,,,,"36.8",,
"Cruz, Steven","R","94.1",,"63.4",,,,"51.7",,
"Sale, Chris","L","94.1","92.3",,"99",,,"53.7",,
"Jackson, Luke","R","94.1",,,,,"67.9","38.6",,
"Lauer, Eric","L","93.9",,"46.1","96.9",,"66.8","29.2",,
"Luzardo, Jesús","L","93.9","94.9",,"99.4",,,"16.7","38.3",
"Kelly, Zack","R","93.9","94.6","60.6","95",,,,"53.2",
"Englert, Mason","R","93.9","85.6","23.7","61.5",,"80.8",,,
"Brazobán, Huascar","R","93.9","91.4","44","82",,,,,
"Miller, Erik","L","93.9","95.9",,"99.6",,,"18.9",,
"Lopez, Jacob","L","93.9",,"63.3","97.8",,,"44",,
"Bido, Osvaldo","R","93.8","92.6","16","95.7",,,"21.8",,
"Boyd, Matthew","L","93.8","94.5",,"88.3",,"79.5","26.7",,
"Gillispie, Connor","R","93.8",,"36","83.8",,,,"56.1",
"Okert, Steven","L","93.8",,,,,,"40.3",,
"Santillan, Tony","R","93.7",,,,,,"29.9",,
"Alexander, Jason","R","93.6","89.6",,"98.2",,,,"53.2",
"Houser, Adrian","R","93.6","90.6",,"94.2",,"98.6","29.6",,
"Allard, Kolby","L","93.6","94.5","50.2","99.5",,"94.2",,,
"Trivino, Lou","R","93.5","88.2","54.1","98.9",,,,"59.9",
"Merryweather, Julian","R","93.5",,,,,,"22.6",,
"Hoglund, Gunnar","R","93.5","94.7",,"84.8",,,"68.8","40.1",
"Suarez, José","L","93.5",,,"86.7",,,"26.5",,
"Palmquist, Carson","L","93.5","93.3","37.6","88.1",,,,"47.2",
"Megill, Trevor","R","93.4",,,,,"42.4",,,
"Miller, Mason","R","93.3",,,,,,"47.4",,
"Matsui, Yuki","L","93.3",,,,"73.2",,"39.2","42.4",
"Birdsong, Hayden","R","93.3",,,"85.7",,"76.7","26.9",,
"Speier, Gabe","L","93.2","92.4",,,,,"38",,
"Ruiz, José","R","93.1","91.9",,"90.6",,"45.1",,,
"Beeks, Jalen","L","93.1",,"19.1","90.7",,,,,
"Evans, Logan","R","93.1","91.3","16.9","92.6",,"65.2",,"45.5",
"Eovaldi, Nathan","R","93",,"64.9",,"79","79.3","39.5",,
"Wilson, Steven","R","93",,,"98.3",,,,"43.9",
"Pagán, Emilio","R","92.9",,"34.9",,"74.9",,,,
"Baz, Shane","R","92.8",,,"94.8",,"75.2","23.1",,
"Kikuchi, Yusei","L","92.7",,,"91.3",,"43.4","31.3",,
"Lynch IV, Daniel","L","92.6","88.1",,"94.4",,"31.2","18.3",,
"Hamilton, Ian","R","92.6","85.9",,,,,"38.4",,
"Francis, Bowden","R","92.5","95.5",,,"93.1","83.6","28.4",,
"Berríos, José","R","92.4","98.2","51.2","98.7",,,,,"55.3"
"Shuster, Jared","L","92.4",,,"75.9",,,"24.5",,
"Varland, Louis","R","92.3","93.8",,"85.2",,"48.4","38.7",,
"Severino, Luis","R","92.3","91.3","57.9","97.1",,,"40","57.3",
