"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Wilson, Jacob","805779","202","7.6",31.7,"108.5","86.7","95.9","88","87","420","128","383","55",27.2,"6",3,2.6
"Bichette, Bo","666182","200","9.6",38.5,"112.3","91.3","102.3","95.4","88.8","389","166","384","99",49.5,"20",10,7.7
"Arraez, Luis","650333","198","13.6",38.4,"107.8","85","92.9","87.2","82.7","376","159","355","32",16.2,"0",0,0
"Kwan, Steven","680757","196","10.7",38.8,"104.1","86.4","95.3","87.8","84.7","406","157","377","43",21.9,"4",2,1.7
"Hoerner, Nico","663538","193","12.7",33.2,"104.7","86.9","96.2","88.8","87.3","385","155",,"53",27.5,"4",2.1,1.8
"Lee, Jung Hoo","808982","193","12",34.7,"105.4","88.2","96.9","90.1","87.2","406","164","381","56",29,"7",3.6,2.9
"Duran, Jarren","680776","193","11.3",33.2,"117.7","92.4","103.4","95.3","91.5","411","157","393","92",47.7,"15",7.8,5.5
"Chourio, Jackson","694192","192","10.6",31.8,"110","87","99.9","94.4","80.4","448","162","404","73",38,"13",6.8,5.1
"Tucker, Kyle","663656","191","18.8",37.2,"108.3","91.2","100.8","94.5","85.9","427","201","393","90",47.1,"25",13.1,9.5
"Naylor, Josh","647304","188","9.6",29.8,"117.9","89.9","101.5","92.2","89.5","417","153","392","83",44.1,"11",5.9,4.6
"Lindor, Francisco","596019","187","11.6",28.3,"109.7","90.2","100.8","94.9","86.5","415","158","389","80",42.8,"16",8.6,6.2
"Witt Jr., Bobby","677951","186","14.4",37.1,"114.8","92.8","103.6","96","89.2","442","190","393","89",47.8,"22",11.8,8.7
"Peña, Jeremy","665161","186","8.5",29,"108.6","88.1","100.2","93.8","84.4","407","147","375","75",40.3,"12",6.5,4.9
"Donovan, Brendan","680977","185","9.8",43.2,"109.2","89.5","100.4","93.7","86.3","404","168","387","80",43.2,"15",8.1,6.4
"Betts, Mookie","605141","185","16.1",37.8,"107.2","89","97.8","91.5","85.9","412","189","391","68",36.8,"8",4.3,3.4
"Albies, Ozzie","645277","185","19.9",36.8,"107.5","86.6","96.3","90","84.2","413","174","369","51",27.6,"7",3.8,2.9
"Ramírez, José","608070","183","20.5",38.8,"111.3","88.9","99.3","92.6","86.8","420","191","387","72",39.3,"16",8.7,7
"Díaz, Yandy","650490","183","5",26.8,"113.4","93.1","105.1","97.4","91.5","435","141","383","98",53.6,"16",8.7,6.9
"Turner, Trea","607208","183","9.6",33.9,"110.5","88.5","99.3","90.9","86.7","426","163","400","69",37.7,"11",6,4.4
"Gurriel Jr., Lourdes","666971","182","16.3",35.7,"109.1","88","99.3","93.3","84.2","416","178","402","69",37.9,"15",8.2,6.6
"Rodríguez, Julio","677594","181","8.5",30.4,"114.7","91.5","102.8","95.3","89.7","438","149","410","81",44.8,"15",8.3,6
"Pasquantino, Vinnie","686469","181","15.4",33.1,"114.4","91.1","101.5","93.8","89.8","448","179","403","81",44.8,"16",8.8,6.6
"Perdomo, Geraldo","672695","180","13.9",36.7,"107.5","88.3","97.2","91.2","86.6","399","165","387","57",31.7,"8",4.4,3.3
"Castellanos, Nick","592206","180","17.6",42.8,"108.5","88.9","98.9","91.7","85.6","414","191","390","70",38.9,"13",7.2,5.5
"Altuve, Jose","514888","177","16.1",23.7,"107","85.7","97.3","91.1","84.1","410","142","383","56",31.6,"10",5.6,4.3
"Harris II, Michael","671739","177","6",31.6,"112.4","89.3","102.2","92.4","87.2","446","149","412","70",39.5,"11",6.2,4.8
"Bohm, Alec","664761","177","6.1",35.6,"109.3","91","100.8","93.7","89.1","422","155","372","85",48,"13",7.3,5.8
"Arenado, Nolan","571448","174","19.6",29.3,"107.9","87.3","97.4","91.1","84.5","400","169","385","60",34.5,"9",5.2,4.1
"Friedl, TJ","670770","174","12.6",32.2,"106.9","87.3","97.4","90.2","86.9","407","147","394","55",31.6,"4",2.3,1.7
"Guerrero Jr., Vladimir","665489","174","7.6",33.3,"120.4","92.6","105.9","96.9","89.9","423","158","403","91",52.3,"26",14.9,10.3
"Garcia, Maikel","672580","173","10",34.7,"110.3","91","101.2","93.7","90.2","428","160","409","75",43.4,"10",5.8,4.3
"Goldschmidt, Paul","502671","173","13.2",41,"109.5","90.1","100.6","94","85.2","425","171","392","69",39.9,"15",8.7,6.6
"Paredes, Isaac","670623","173","19.4",40.5,"107.4","86.9","98","90.4","82.3","407","190","376","58",33.5,"9",5.2,3.7
"Nootbaar, Lars","663457","172","17.4",37.8,"112.7","92.3","102.6","95.7","88.8","418","189","387","92",53.5,"19",11,7.5
"Rooker, Brent","667670","172","14.3",36.6,"111.7","91.2","101.6","95","88.2","440","182","398","77",44.8,"22",12.8,8.7
"Carroll, Corbin","682998","170","15.5",30,"115.8","92.9","104.6","97.1","89.2","434","185","406","86",50.6,"29",17.1,11.1
"Crow-Armstrong, Pete","691718","170","23.3",36.5,"108.6","89.7","100.5","93.9","83.2","418","196","389","71",41.8,"24",14.1,10
"Tatis Jr., Fernando","665487","169","6.3",24.3,"112.8","93.9","103.9","98.5","91.2","430","143","403","90",53.3,"22",13,9.3
"Machado, Manny","592518","169","14.9",39.1,"114.8","92.9","103.8","96.8","90.3","422","177","393","89",52.7,"20",11.8,8.8
"Ruiz, Keibert","660688","168","10.3",33.9,"107.8","87","96.7","89.4","87","414","146","393","57",33.9,"4",2.4,2
"Frelick, Sal","686217","168","9.6",29.2,"106.6","86.7","96.7","90.5","85.4","412","133","407","53",31.5,"5",3,2.3
"Soto, Juan","665742","167","6.9",29.9,"114.3","93.5","104.6","99","89.6","434","155","397","92",55.1,"24",14.4,9.6
"France, Ty","664034","167","9.2",34.1,"109.2","88.9","100.5","92","85.8","411","155","402","69",41.3,"15",9,6.9
"Caminero, Junior","691406","166","6",24.7,"116.5","91.5","103.6","96.7","89.9","419","137","392","82",49.4,"16",9.6,7.3
"Schanuel, Nolan","694384","163","11.9",41.7,"109.8","88.2","97.1","91.7","84.5","418","166","391","49",30.1,"7",4.3,3.2
"Flores, Wilmer","527038","163","16.2",41.1,"106.8","85","95.7","89.8","80.8","399","164","379","40",24.5,"10",6.1,4.5
"Perez, Salvador","521692","163","15.6",36.2,"114.8","90.6","102.4","94.9","85.8","418","189","402","77",47.2,"22",13.5,9.8
"Harper, Bryce","547180","162","14.6",42.6,"111.3","91.6","102.5","94.2","86.6","437","197","396","81",50,"17",10.5,7.1
"India, Jonathan","663697","161","17.6",37.3,"108.4","89.1","98.7","90.8","89.8","401","178","393","62",38.5,"8",5,3.6
"Vargas, Miguel","678246","161","22.5",36.6,"110","90.4","99.6","93.2","88.5","422","199","381","68",42.2,"17",10.6,7.6
"Alonso, Pete","624413","161","13.2",39.8,"115.4","94.5","106","100.1","88.5","443","179","409","90",55.9,"31",19.3,12.4
"Devers, Rafael","646240","161","13.9",39.8,"112.1","94.4","104","94.9","94.6","442","180","399","92",57.1,"26",16.1,9.7
"Massey, Michael","686681","160","22.8",34.4,"108.5","87.5","97.4","90.6","88.8","404","185","394","51",31.9,"5",3.1,2.5
"Swanson, Dansby","621020","159","13.9",35.2,"109.3","90.2","101.2","96","85.2","433","166","398","73",45.9,"19",11.9,7.9
"Hayes, Ke'Bryan","663647","159","8.3",28.3,"109.7","90.5","100.8","94.9","87.9","388","142","348","75",47.2,"10",6.3,4.5
"Riley, Austin","663586","159","16.9",38.4,"113.2","92.5","104.4","97.3","86.3","444","191","412","83",52.2,"25",15.7,10
"Ohtani, Shohei","660271","159","14.7",37.1,"117.9","96","107.1","101.1","89.5","448","202","402","103",64.8,"38",23.9,14.7
"Turang, Brice","668930","158","8.4",36.7,"109.8","91.5","100","94.4","88.7","444","155","421","70",44.3,"13",8.2,5.5
"Pages, Andy","681624","158","17.2",39.2,"110.6","88.9","98.8","91.5","84.8","418","188","397","56",35.4,"12",7.6,5.6
"Reynolds, Bryan","668804","158","5.6",36.1,"112","91.1","102.6","96","86.1","410","159","395","73",46.2,"19",12,7.8
"Judge, Aaron","592450","158","16.2",36.7,"117.7","95.4","107","98","91.3","468","195","399","89",56.3,"36",22.8,14.2
"Ramos, Heliot","671218","158","7.6",30.4,"116","91.1","102.8","97.7","86.9","430","156","394","72",45.6,"21",13.3,8.9
"Wagaman, Eric","676572","158","13.1",38.6,"111","91.6","102.1","95","90.2","427","170","417","74",46.8,"12",7.6,5.8
"García Jr., Luis","671277","157","8.1",34.4,"111.7","90","100.8","95.4","84.8","420","171","392","74",47.1,"15",9.6,7.7
"Bellinger, Cody","641355","157","21.3",39.5,"110.2","90.2","99.9","93.2","87.8","451","201","397","66",42,"17",10.8,7.8
"Soderstrom, Tyler","691016","157","10.1",40.1,"114","92.5","104","96","89.4","432","172","393","81",51.6,"25",15.9,10.2
"Adames, Willy","642715","157","21.1",29.3,"109.9","88.2","99.5","94.8","79.7","401","179","389","69",43.9,"17",10.8,6.9
"De La Cruz, Elly","682829","157","6.5",29.9,"114.9","91.4","103.8","96.4","88.2","451","145","408","73",46.5,"22",14,8.7
"Butler, Lawrence","671732","157","9.1",33.1,"113.6","92.1","102.4","96.2","87.7","435","171","420","74",47.1,"16",10.2,6.8
"Bregman, Alex","608324","156","19.7",32.1,"109.6","92.1","100.4","95.4","89.4","411","190","396","75",48.1,"16",10.3,7.1
"Nimmo, Brandon","607043","156","10.8",31.4,"109.6","92.5","102","94.2","91.9","412","162","398","82",52.6,"16",10.3,7.5
"Stott, Bryson","681082","156","14.1",37.8,"110.7","86.7","96.9","89.5","83.1","411","169","392","44",28.2,"8",5.1,3.7
"Larnach, Trevor","663616","156","8.5",31.4,"111.8","90.8","101.7","93.9","88.5","434","153","392","70",44.9,"12",7.7,5.3
"Semien, Marcus","543760","155","19.8",35.5,"110","88.4","98.4","91.7","85.9","417","187","396","55",35.5,"13",8.4,5.7
"Ward, Taylor","621493","154","20.5",32.5,"110.3","91","101.9","96.9","84","426","199","391","72",46.8,"25",16.2,10.6
"Langeliers, Shea","669127","154","11.5",31.8,"114.5","90.6","102.3","94.3","87.4","429","162","402","71",46.1,"16",10.4,7.7
"Suzuki, Seiya","673548","154","15.4",44.8,"116.2","93.2","103.9","96.1","89.3","445","198","403","78",50.6,"26",16.9,10.9
"Carpenter, Kerry","681481","153","19.7",34.6,"109.2","91.9","101.3","95.8","89.3","413","184","383","74",48.4,"20",13.1,9.7
"Olson, Matt","621566","153","13.2",38.6,"113.8","94.6","104.8","98.4","92","434","180","404","87",56.9,"28",18.3,11.5
"Lowe, Nathaniel","663993","153","11.8",35.3,"111.7","90.2","100.9","94.4","87.3","421","162","395","66",43.1,"10",6.5,4.1
"Suárez, Eugenio","553993","152","23.1",34.9,"111.8","91.2","102.1","95.6","85.4","458","209","420","78",51.3,"22",14.5,9.4
"Goodman, Hunter","696100","152","17.7",27.6,"116.2","91.2","103.1","95.7","89.5","421","174","397","74",48.7,"15",9.9,6.7
"Happ, Ian","664023","151","16.7",36.4,"112","89.3","100.2","93.5","85.6","404","168","377","60",39.7,"11",7.3,4.8
"Bogaerts, Xander","593428","151","11.5",36.4,"112.2","89.7","100","94.3","86.1","393","161","369","60",39.7,"7",4.6,3.2
"Contreras, William","661388","150","4.8",31.3,"114.1","89.2","101.5","96.6","83.2","408","140","389","60",40,"8",5.3,3.5
"Diaz, Yainer","673237","150","13.3",36.7,"109.7","90.8","100.8","93.8","89.2","430","173","395","64",42.7,"15",10,7.6
"Wood, James","695578","149","4.6",30.9,"117.9","93.9","106.8","100.2","88.6","448","164","413","87",58.4,"28",18.8,11.1
"Volpe, Anthony","683011","148","10.5",32.4,"110.5","90.8","101.4","95.8","86.8","424","168","374","69",46.6,"15",10.1,6.5
"Espinal, Santiago","669289","148","12.1",31.1,"107.4","86.4","96.2","89.6","85","375","147",,"39",26.4,"1",0.7,0.5
"Rengifo, Luis","650859","148","2.8",31.1,"106.6","86.8","97.3","91.6","84.2","402","125","402","46",31.1,"5",3.4,2.7
"Schwarber, Kyle","656941","147","17.8",34.7,"116.7","93.9","104.8","97.8","89.5","466","194","412","88",59.9,"25",17,9.9
"Sosa, Lenyn","672820","147","18.7",42.2,"110.3","91.2","100.5","93.7","88.8","416","188","389","61",41.5,"10",6.8,5.1
"Ortiz, Joey","687401","147","14",29.9,"109.8","85.1","97.9","89.7","83.7","382","144","358","48",32.7,"4",2.7,2.1
"Rutschman, Adley","668939","147","16.8",36.7,"111","90.2","99.6","93.2","85.9","436","186","413","58",39.5,"13",8.8,6.2
"Yelich, Christian","592885","147","-0.2",24.5,"113.4","90.6","102.2","95.9","88.6","465","120","402","68",46.3,"10",6.8,4.2
"Kirk, Alejandro","672386","147","13.1",37.4,"111.4","92.2","102.6","95.7","89.8","424","168","407","79",53.7,"11",7.5,6.1
"Walker, Christian","572233","147","14.7",36.7,"112.8","90.6","102.6","94.6","86.1","417","179","388","69",46.9,"18",12.2,7.9
"Contreras, Willson","575929","146","6.8",37.7,"114.7","89.6","102.8","94.8","85.5","421","154","398","64",43.8,"16",11,7.1
"Story, Trevor","596115","146","12.6",28.1,"111.7","89.9","102.1","93.3","88.6","431","154","398","67",45.9,"15",10.3,6.6
"Clement, Ernie","676391","146","18.1",37,"108.9","87.4","96.1","88.8","85.6","404","170","384","38",26,"3",2.1,1.7
"Rafaela, Ceddanne","678882","146","11.2",33.6,"109.1","90.4","100.7","93.7","87.7","406","161","399","67",45.9,"19",13,9.6
"Santana, Carlos","467793","146","13.7",26,"113.2","88.3","101.1","94.1","87.5","415","144","380","59",40.4,"11",7.5,5.1
"Abreu, Wilyer","677800","145","23.8",29.7,"111.2","90.8","102.8","93.8","88.8","430","196","403","66",45.5,"20",13.8,9.3
"Lowe, Brandon","664040","144","13.6",38.2,"111.6","92","101.9","95.9","89.1","429","175","397","64",44.4,"17",11.8,7.9
"García, Adolis","666969","144","21.4",31.3,"113.6","92.7","102.1","94.4","93.4","431","194","399","69",47.9,"21",14.6,9.8
"Mountcastle, Ryan","663624","144","9.4",37.5,"116.7","90.5","101.4","95.2","86.2","395","166","392","67",46.5,"16",11.1,8
"Vaughn, Andrew","683734","143","15.4",35.7,"110.5","91.5","101.6","94.9","89.2","405","172","391","69",48.3,"19",13.3,9.8
"Greene, Riley","682985","143","10.1",38.5,"114.5","91.1","103.3","97","85.3","429","166","388","71",49.7,"26",18.2,11.1
"Crawford, J.P.","641487","143","13.1",40.6,"108.6","85.9","96.9","89","82.6","417","158","382","47",32.9,"9",6.3,4
"Andujar, Miguel","609280","143","10.3",32.2,"111.4","87.7","98.8","89.6","87.6","399","150","370","50",35,"6",4.2,3.5
"Torkelson, Spencer","679529","143","22.2",42,"110.5","91.2","101.1","95.6","84.2","436","204","396","65",45.5,"21",14.7,8.9
"Meyers, Jake","676694","142","9.5",35.2,"107.9","88.5","99.4","91.7","86","409","152","378","53",37.3,"8",5.6,4.1
"Torres, Gleyber","650402","141","16.2",39,"108.9","90.5","100.1","94.4","85.8","432","194","405","53",37.6,"17",12.1,8.8
"Chapman, Matt","656305","141","21.9",33.3,"113.5","94.3","103.7","95.8","97.9","420","189","399","73",51.8,"17",12.1,7.2
"Abrams, CJ","682928","141","14",37.6,"112.7","89.8","100.5","91.9","88.5","414","170","386","61",43.3,"14",9.9,7.1
"Edwards, Xavier","669364","140","10.6",30.7,"109","86.3","96.1","88.2","86.5","362","148",,"40",28.6,"0",0,0
"Raleigh, Cal","663728","140","24.1",38.6,"113.2","92.4","103.6","96.9","88.4","432","212","382","69",49.3,"34",24.3,13.9
"Correa, Carlos","621043","140","5.1",30,"112.6","89.6","101.8","93.5","87.1","458","139","409","59",42.1,"8",5.7,4.4
"Holliday, Jackson","702616","139","7.4",36.7,"109.6","90.5","101.3","94.6","87.7","425","154","402","64",46,"12",8.6,6
"Henderson, Gunnar","683002","139","10.5",26.6,"113.3","94.3","104.5","96.8","95.2","405","152","391","78",56.1,"12",8.6,5.6
"Steer, Spencer","668715","138","15.5",35.5,"106.5","87","97.5","90.7","83.3","392","159","385","43",31.2,"8",5.8,3.8
"Freeman, Freddie","518692","137","16.1",46.7,"111.6","92.2","101.1","94","89.2","418","197","408","63",46,"17",12.4,8.7
"Jung, Josh","673962","137","13",42.3,"108","88.2","100.7","94.9","82.6","418","175","384","57",41.6,"14",10.2,7.3
"Vientos, Mark","668901","136","11.5",33.8,"110.4","90.6","100.4","94.6","86","403","165","371","62",45.6,"10",7.4,4.9
"Sweeney, Trey","700242","136","9",28.7,"110.8","88.3","98.9","92.1","85.5","409","149","382","46",33.8,"8",5.9,4
"Yastrzemski, Mike","573262","134","16.6",35.1,"106.8","90.6","99.6","93.8","86.3","387","181","375","56",41.8,"11",8.2,5.3
